node_id	sp_name
539	H_0544_Thysanoptera_Thripidae
540	H_0545_Hemiptera_Bothrogonia
541	H_0546_Diptera_Cecidomyiidae
542	H_0547_Diptera_Diptera
543	H_0548_Diptera_Diptera
544	H_0549_Diptera_Mycetophilidae
545	H_0550_Diptera_Cricotopus
546	H_0551_Diptera_Empididae
547	H_0552_Hemiptera_Saldula
548	H_0553_Diptera_Diptera
549	H_0554_Hemiptera_Hemiptera
550	H_0555_Hemiptera_Hemiptera
551	H_0556_Hymenoptera_Lasius
552	H_0557_Neuroptera_Neuroptera
553	H_0558_Diptera_Dolichopus.bigeniculatus
554	H_0559_Diptera_Diptera
555	H_0560_Lepidoptera_Lepidoptera
556	H_0562_Hymenoptera_Argidae
557	H_0563_Hemiptera_Aphididae
558	H_0564_Hemiptera_Stenotus
559	H_0565_Diptera_Cecidomyiidae
560	H_0566_Diptera_Megaselia
561	H_0567_Diptera_Platypalpus
562	H_0568_Hymenoptera_Braconidae
563	H_0569_Diptera_Cecidomyiidae
564	H_0570_Diptera_Paratanytarsus
565	H_0571_Lepidoptera_Noctuidae
566	H_0573_Diptera_Drosophilidae
567	H_0575_Hemiptera_Hemiptera
568	H_0576_Coleoptera_Chrysomelidae
569	H_0578_Hymenoptera_Lasius
570	H_0580_Diptera_Diptera
571	H_0581_Diptera_Cecidomyiidae
572	H_0583_Diptera_Cricotopus
573	H_0584_Hemiptera_Anoecia
574	H_0585_Lepidoptera_Lepidoptera
575	H_0587_Diptera_Diptera
576	H_0588_Hemiptera_Hemiptera
577	H_0589_Hemiptera_Aphididae
578	H_0590_Hymenoptera_Braconidae
579	H_0591_Diptera_Lestodiplosis
580	H_0593_Hemiptera_Apolygus
581	H_0594_Diptera_Cecidomyiidae
582	H_0595_Diptera_Mycetophilidae
583	H_0596_Diptera_Diptera
584	H_0597_Diptera_Diptera
585	H_0598_Diptera_Cecidomyiidae
586	H_0599_Diptera_Chironomus
587	H_0600_Hymenoptera_Ichneumonidae
588	H_0601_Hymenoptera_Hymenoptera
589	H_0602_Diptera_Mycetophilidae
590	H_0603_Diptera_Chironomidae
591	H_0604_Lepidoptera_Lepidoptera
592	H_0607_Diptera_Diptera
593	H_0608_Neuroptera_Neuroptera
594	H_0609_Coleoptera_Coleoptera
595	H_0610_Hymenoptera_Hymenoptera
596	H_0611_Hymenoptera_Halictidae
597	H_0612_Hymenoptera_Formica
598	H_0613_Isopoda_Armadillidium.vulgare
599	H_0614_Hemiptera_Cymus
600	H_0615_Diptera_Aprionus
601	H_0617_Neuroptera_Mantispidae
602	H_0618_Diptera_Diptera
603	H_0619_Hymenoptera_Hymenoptera
604	H_0620_Lepidoptera_Lepidoptera
605	H_0621_Collembola_Collembola
606	H_0622_Diptera_Diptera
607	H_0624_Diptera_Sciaridae
608	H_0625_Coleoptera_Atomaria
609	H_0626_Diptera_Diptera
610	H_0628_Orthoptera_Ruspolia
611	H_0629_Diptera_Cecidomyiidae
612	H_0630_Hymenoptera_Hymenoptera
613	H_0631_Diptera_Sciaridae
614	H_0632_Diptera_Cecidomyiidae
615	H_0634_Coleoptera_Coleoptera
616	H_0635_Coleoptera_Coleoptera
617	H_0636_Hymenoptera_Ceraphron
