hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0554_Hemiptera_Hemiptera	Unidentified	unidentified	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0559_Diptera_Diptera	Unidentified	unidentified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0571_Lepidoptera_Noctuidae	Noctuidae	herbivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0583_Diptera_Cricotopus	Chironomidae	detritivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0585_Lepidoptera_Lepidoptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0588_Hemiptera_Hemiptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0589_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0596_Diptera_Diptera	Unidentified	unidentified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0597_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0601_Hymenoptera_Hymenoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0602_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0604_Lepidoptera_Lepidoptera	Unidentified	unidentified	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0608_Neuroptera_Neuroptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0617_Neuroptera_Mantispidae	Mantispidae	predatory/parasitic	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0619_Hymenoptera_Hymenoptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0620_Lepidoptera_Lepidoptera	Unidentified	unidentified	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0626_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0632_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0637_Diptera_Phoridae	Phoridae	variable	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0645_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0655_Diptera_Cecidomyiidae	Cecidomyiidae	variable	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
